sr no.,year,month,domestic,foreign,native
1,2000,Jan,111832,5668,1999
2,2000,Feb,145022,35112,3712
3,2000,Mar,90630,33462,4105
4,2000,Apr,221313,37191,2237
5,2000,May,164722,58464,2026
6,2000,Jun,110970,42141,1845
7,2000,Jul,212728,40012,2566
8,2000,Aug,217560,16127,2618
9,2000,Sep,137356,40622,2506
10,2000,Oct,80783,49124,2964
11,2000,Nov,144826,33123,4046
12,2000,Dec,226594,52569,2434
13,2001,Jan,52722,27753,1882
14,2001,Feb,187689,34264,4678
15,2001,Mar,80041,24065,3031
16,2001,Apr,164830,33256,3215
17,2001,May,233531,21557,1155
18,2001,Jun,246648,56881,3231
19,2001,Jul,140212,29011,2401
20,2001,Aug,137732,10749,1519
21,2001,Sep,101627,8211,4035
22,2001,Oct,136246,27996,4236
23,2001,Nov,247152,17564,1628
24,2001,Dec,241845,52097,3937
25,2002,Jan,203495,6852,2637
26,2002,Feb,184862,28912,1222
27,2002,Mar,53674,33531,4865
28,2002,Apr,86593,34325,2089
29,2002,May,220860,47569,4528
30,2002,Jun,168065,30791,2603
31,2002,Jul,91627,12789,1921
32,2002,Aug,236983,56620,4800
33,2002,Sep,59807,9607,4516
34,2002,Oct,142824,45728,1461
35,2002,Nov,169435,48813,3645
36,2002,Dec,244118,39389,4189
37,2003,Jan,214483,23874,3718
38,2003,Feb,248826,17264,3292
39,2003,Mar,83615,48241,2691
40,2003,Apr,120082,10519,1552
41,2003,May,138286,45623,4480
42,2003,Jun,217903,11911,3700
43,2003,Jul,216288,6711,3706
44,2003,Aug,73062,19135,2689
45,2003,Sep,64505,51345,3946
46,2003,Oct,117659,36073,4892
47,2003,Nov,137080,58676,1157
48,2003,Dec,130483,7994,4654
49,2004,Jan,194172,8903,3695
50,2004,Feb,176667,58177,1477
51,2004,Mar,78451,26323,2746
52,2004,Apr,204532,55368,2897
53,2004,May,117042,47966,4779
54,2004,Jun,62359,48850,4403
55,2004,Jul,65690,24886,1852
56,2004,Aug,66962,42544,4505
57,2004,Sep,64583,45035,4806
58,2004,Oct,75295,23732,3651
59,2004,Nov,217839,17758,4624
60,2004,Dec,99069,13461,2271
61,2005,Jan,156001,19386,4343
62,2005,Feb,229211,21283,4504
63,2005,Mar,163219,27148,3964
64,2005,Apr,112792,31739,3664
65,2005,May,111735,7433,2230
66,2005,Jun,115825,37330,1022
67,2005,Jul,119779,28298,4061
68,2005,Aug,124489,40400,1893
69,2005,Sep,100646,7899,1124
70,2005,Oct,233456,24206,1967
71,2005,Nov,155786,40494,3547
72,2005,Dec,52293,45748,2437
73,2006,Jan,248362,43090,2034
74,2006,Feb,149827,27419,1562
75,2006,Mar,156506,36282,2057
76,2006,Apr,129360,10263,4200
77,2006,May,154841,29176,2050
78,2006,Jun,197918,9768,2040
79,2006,Jul,190982,23016,2330
80,2006,Aug,52826,35952,2778
81,2006,Sep,90919,31422,4377
82,2006,Oct,126718,50675,1210
83,2006,Nov,159942,8259,4357
84,2006,Dec,65363,14305,2107
85,2007,Jan,153340,12609,4222
86,2007,Feb,168517,18055,3991
87,2007,Mar,126405,4430,4700
88,2007,Apr,119065,25572,1672
89,2007,May,75902,39884,4858
90,2007,Jun,214046,58575,1286
91,2007,Jul,215321,43244,3042
92,2007,Aug,228324,12714,2139
93,2007,Sep,88324,35327,3079
94,2007,Oct,139774,27008,2691
95,2007,Nov,183313,5107,1449
96,2007,Dec,183444,19195,3860
97,2008,Jan,147230,10562,4968
98,2008,Feb,64925,40106,3213
99,2008,Mar,198047,16091,3536
100,2008,Apr,200240,42847,3638
101,2008,May,51724,43958,4403
102,2008,Jun,194984,12922,2238
103,2008,Jul,242898,13842,3049
104,2008,Aug,105939,11112,1144
105,2008,Sep,90772,31438,3083
106,2008,Oct,72719,38970,2078
107,2008,Nov,209738,59038,2476
108,2008,Dec,231703,47055,1193
109,2009,Jan,220788,13215,2645
110,2009,Feb,132755,20290,2837
